time,call_id,passenger_id,origin_floor,destination_floor,car_id
1596.403,CALL000198,P00198,4,1,C1
1599.294,CALL000199,P00199,5,1,C2
1612.163,CALL000200,P00200,3,1,C2
1613.282,CALL000201,P00201,6,1,C1
1616.098,CALL000202,P00202,5,1,C1
1621.372,CALL000203,P00203,3,1,C1
1629.056,CALL000204,P00204,5,1,C1
1660.679,CALL000205,P00205,2,1,C2
1666.586,CALL000206,P00206,7,1,C2
1669.076,CALL000207,P00207,8,1,C1
1677.315,CALL000208,P00208,7,1,C3
1677.808,CALL000209,P00209,3,1,C1
1682.558,CALL000210,P00210,2,1,C2
1686.711,CALL000211,P00211,8,1,C3
1703.065,CALL000212,P00212,8,1,C1
1710.185,CALL000213,P00213,4,1,C1
1728.619,CALL000214,P00214,7,1,C1
1732.151,CALL000215,P00215,4,1,C2
1748.779,CALL000216,P00216,6,1,C2
1756.58,CALL000217,P00217,4,1,C1
1756.845,CALL000218,P00218,7,1,C1
1758.389,CALL000219,P00219,3,1,C3
1768.297,CALL000220,P00220,6,1,C3
1768.546,CALL000221,P00221,3,1,C2
1768.925,CALL000222,P00222,2,1,C2
1772.162,CALL000223,P00223,5,1,C3
1790.287,CALL000224,P00224,8,1,C3
1796.885,CALL000225,P00225,7,1,C1
1804.593,CALL000226,P00226,5,1,C3
1820.19,CALL000227,P00227,5,1,C1
1822.585,CALL000228,P00228,8,1,C3
1828.925,CALL000229,P00229,7,1,C1
1853.77,CALL000230,P00230,3,1,C3
1858.662,CALL000231,P00231,4,1,C2
1859.534,CALL000232,P00232,2,1,C2
1884.827,CALL000233,P00233,5,1,C3
1884.907,CALL000234,P00234,5,1,C1
1901.946,CALL000235,P00235,5,1,C3
1905.202,CALL000236,P00236,2,1,C3
1909.574,CALL000237,P00237,6,1,C1
1913.224,CALL000238,P00238,5,1,C3
1918.591,CALL000239,P00239,4,1,C3
1919.513,CALL000240,P00240,4,1,C1
1926.878,CALL000241,P00241,4,1,C3
1930.284,CALL000242,P00242,5,1,C3
1934.648,CALL000243,P00243,5,1,C3
1942.639,CALL000244,P00244,8,1,C3
1949.466,CALL000245,P00245,6,1,C3
1970.884,CALL000246,P00246,6,1,C3
1971.833,CALL000247,P00247,7,1,C2
1976.323,CALL000248,P00248,8,1,C3
1983.66,CALL000249,P00249,4,1,C2
1987.62,CALL000250,P00250,6,1,C3
1988.162,CALL000251,P00251,4,1,C1
2002.23,CALL000252,P00252,5,1,C1
2005.818,CALL000253,P00253,7,1,C2
2009.365,CALL000254,P00254,3,1,C2
2027.397,CALL000255,P00255,8,1,C3
2031.916,CALL000256,P00256,5,1,C1
2033.123,CALL000257,P00257,5,1,C1
2037.633,CALL000258,P00258,5,1,C1
2039.987,CALL000259,P00259,4,1,C2
2045.294,CALL000260,P00260,2,1,C1
2049.666,CALL000261,P00261,4,1,C2
2059.799,CALL000262,P00262,2,1,C3
2062.549,CALL000263,P00263,2,1,C3
2068.488,CALL000264,P00264,6,1,C2
2089.576,CALL000265,P00265,2,1,C1
2094.433,CALL000266,P00266,5,1,C2
2100.424,CALL000267,P00267,3,1,C3
2100.624,CALL000268,P00268,2,1,C3
2101.382,CALL000269,P00269,7,1,C3
2119.043,CALL000270,P00270,3,1,C2
2119.753,CALL000271,P00271,7,1,C1
2120.054,CALL000272,P00272,5,1,C2
2122.894,CALL000273,P00273,2,1,C1
2137.543,CALL000274,P00274,7,1,C3
2172.161,CALL000275,P00275,4,1,C2
